psi,gamma_agent_1,gamma_agent_2,gamma_true
-1.29721340490694,-0.406526959238471,0.086569445823948,0.493096405062419
-1.28491754324905,-0.410409687935081,0.0835338360663182,0.493943524001399
-1.27262168159117,-0.414044753533735,0.0805125116518108,0.494557265185546
-1.26032581993328,-0.417431644490743,0.0775023283062397,0.494933972796983
-1.2480299582754,-0.420571327186802,0.074500711108346,0.495072038295148
-1.23573409661751,-0.423466251768474,0.0715056801414866,0.494971931909961
-1.22343823495963,-0.426120340157608,0.0685158648955236,0.494636205053132
-1.21114237330174,-0.428538956112705,0.0655305073674333,0.494069463480138
-1.19884651164385,-0.430728857469288,0.0625494539945489,0.493278311463836
-1.18655064998597,-0.432698130930753,0.0595731367358402,0.492271267666594
-1.17425478832808,-0.434456110023434,0.0566025437913193,0.491058653814753
-1.1619589266702,-0.4360132770662,0.0536391806147994,0.489652457681
-1.14966306501231,-0.437381150232482,0.0506850220282215,0.488066172260703
-1.13736720335443,-0.438572156997648,0.047742456384234,0.486314613381882
-1.12507134169654,-0.43959949546418,0.0448142228455282,0.484413718309708
-1.11277548003865,-0.440476985237872,0.0419033429527291,0.482380328190601
-1.10047961838077,-0.441218909687742,0.0390130477358913,0.480231957423633
-1.08818375672288,-0.441839851557868,0.0361467016866114,0.477986553244479
-1.075887895065,-0.442354524008874,0.0333077249475909,0.475662248956465
-1.06359203340711,-0.442777599248471,0.0304995150936407,0.473277114342112
-1.05129617174923,-0.443123536962847,0.0277253698724835,0.470848906835331
-1.03900031009134,-0.443406414782874,0.0249884122454924,0.468394827028366
-1.02670444843345,-0.443639763010383,0.0222915190183063,0.465931282028689
-1.01440858677557,-0.44383640579011,0.0196372542800112,0.463473660070121
-1.00211272511768,-0.44400831084254,0.0170278087785643,0.461036119621104
-0.989816863459798,-0.444166449772637,0.0144649462509356,0.458631396023573
-0.977521001801912,-0.444320670840411,0.0119499576009473,0.456270628441359
-0.965225140144026,-0.444479585923151,0.00948362367812197,0.453963209601272
-0.952929278486141,-0.444650473217891,0.0070661872593818,0.451716660477273
-0.940633416828255,-0.444839197028703,0.00469733467468988,0.449536531703393
-0.928337555170369,-0.44505014575939,0.00237618735039757,0.447426333109787
-0.916041693512484,-0.44528618899124,0.000101303372914058,0.445387492364154
-0.903745831854598,-0.445548654270865,-0.00212931099679453,0.443419343274071
-0.891449970196712,-0.445837323968379,-0.00431818009762877,0.44151914387075
-0.879154108538827,-0.446150452294969,-0.00646832833702676,0.439682123957942
-0.866858246880941,-0.446484802295032,-0.0085832409174042,0.437901561377628
-0.854562385223055,-0.446835702355362,-0.0106668165320934,0.436168885823268
-0.84226652356517,-0.447197121506319,-0.0127233128783107,0.434473808628009
