phi,a_1,a_2,a_3,a_4
0.897597901025655,0.146594116251151,0.0454420562418617,0.764472659743692,0.0295886225071248
0.909893762683541,0.204551336324828,0.101648950434859,0.799438573138023,0.0604413296169302
0.922189624341426,0.265019434936558,0.160544130083382,0.835560104064011,0.0954376289306733
0.934485485999312,0.327803219816719,0.221931148948811,0.872832502129008,0.134664097018854
0.946781347657198,0.392709396320214,0.285613788944099,0.91124577881074,0.178181062368804
0.959077209315084,0.459548842880747,0.351398449611668,0.950784174042613,0.226021071541848
0.971373070972969,0.528138624400076,0.419096297507441,0.991425625173716,0.278187536681608
0.983668932630855,0.598303709170993,0.488525138811409,1.03314124625384,0.334653581729957
0.995964794288741,0.669878360634119,0.559510983890422,1.07589482596755,0.395361103389445
1.00826065594663,0.742707181471061,0.631889278485144,1.11964235280315,0.46022006136429
1.02055651760451,0.816645794137676,0.705505782581893,1.16433157618467,0.529108010725407
1.0328523792624,0.891561148831446,0.780217084754984,1.20990161231195,0.601869887389382
1.04514824092028,0.96733145695196,0.855890746714316,1.25628260334094,0.678318055690086
1.05744410257817,1.04384575523534,0.932405079850286,1.30339543829172,0.758232624869859
1.06973996423605,1.12100311280308,1.00964856261552,1.35115154369452,0.841362039042062
1.08203582589394,1.19871150024465,1.08751891450189,1.39945275147622,0.927423942797132
1.09433168755183,1.2768863464347,1.16592184904515,1.44819125095427,1.01610632216073
1.10662754920971,1.35544881495882,1.24476953460483,1.49724963104841,1.10706891808703
1.1189234108676,1.43432383767962,1.32397879751563,1.54650101794859,1.19994490710641
1.13121927252548,1.51343794801999,1.40346910748823,1.59580931250104,1.29434284116858
1.14351513418337,1.59271696088454,1.48316038975847,1.64502953050326,1.38984883615566
1.15581099584125,1.67208354970447,1.56297071236428,1.69400824794566,1.48602899601012
1.16810685749914,1.75145477381117,1.64281389999709,1.74258415201664,1.58243205695668
1.18040271915703,1.83073961116653,1.72259712807244,1.79058869741414,1.67859223392111
1.19269858081491,1.90983655236528,1.80221855194855,1.83784686619605,1.7740322489889
1.2049944424728,1.98863131175323,1.88156502656258,1.88417802807203,1.86826651962879
1.21729030413068,2.0669947104676,1.96050997113739,1.92939689670687,1.96080448245423
1.22958616578857,2.14478078420774,2.03891143203825,1.97331457628953,2.05115402653478
