time_pc_sec_abs,micros32,micros32_raw,time_local_sec,a0,a1,a2,a3,agent_id,chunk_id
1788872121.9750428,8146271,2085445376,2085.445376,2,0,144,95,8,20260908_145623
1788872121.9850268,8146310,2085455360,2085.45536,5,13,144,96,8,20260908_145623
1788872121.9950109,8146349,2085465344,2085.465344,9,17,144,97,8,20260908_145623
1788872122.0049949,8146388,2085475328,2085.475328,12,1,144,97,8,20260908_145623
1788872122.015235,8146428,2085485568,2085.485568,15,14,144,98,8,20260908_145623
1788872122.025219,8146467,2085495552,2085.495552,18,2,144,98,8,20260908_145623
1788872122.035203,8146506,2085505536,2085.505536,21,1,144,98,8,20260908_145623
1788872122.045187,8146545,2085515520,2085.51552,24,35,144,99,8,20260908_145623
1788872122.055171,8146584,2085525504,2085.525504,28,1,144,100,8,20260908_145623
1788872122.0651548,8146623,2085535488,2085.535488,31,126,144,102,8,20260908_145623
1788872122.0751388,8146662,2085545472,2085.545472,34,1,144,104,8,20260908_145623
1788872122.0851228,8146701,2085555456,2085.555456,37,105,143,106,8,20260908_145623
1788872122.0951068,8146740,2085565440,2085.56544,40,30,144,108,8,20260908_145623
1788872122.1050909,8146779,2085575424,2085.575424,44,9,144,110,8,20260908_145623
1788872122.1150749,8146818,2085585408,2085.585408,47,73,144,112,8,20260908_145623
1788872122.125059,8146857,2085595392,2085.595392,50,10,143,115,8,20260908_145623
1788872122.135043,8146896,2085605376,2085.605376,53,42,144,120,8,20260908_145623
1788872122.145283,8146936,2085615616,2085.615616,56,35,144,125,8,20260908_145623
1788872122.155267,8146975,2085625600,2085.6256,60,31,144,130,8,20260908_145623
1788872122.165251,8147014,2085635584,2085.635584,63,65,144,135,8,20260908_145623
1788872122.1752348,8147053,2085645568,2085.645568,66,14,144,141,8,20260908_145623
1788872122.1852188,8147092,2085655552,2085.655552,69,107,144,146,8,20260908_145623
1788872122.1952028,8147131,2085665536,2085.665536,72,18,144,154,8,20260908_145623
1788872122.2051868,8147170,2085675520,2085.67552,75,82,144,161,8,20260908_145623
1788872122.2151709,8147209,2085685504,2085.685504,79,1,144,169,8,20260908_145623
1788872122.2251549,8147248,2085695488,2085.695488,82,76,144,176,8,20260908_145623
1788872122.235139,8147287,2085705472,2085.705472,85,28,144,184,8,20260908_145623
1788872122.245123,8147326,2085715456,2085.715456,88,34,144,189,8,20260908_145623
1788872122.255107,8147365,2085725440,2085.72544,91,61,144,194,8,20260908_145623
1788872122.265091,8147404,2085735424,2085.735424,95,34,144,197,8,20260908_145623
1788872122.2753308,8147444,2085745664,2085.745664,98,1,144,198,8,20260908_145623
1788872122.2853148,8147483,2085755648,2085.755648,101,58,144,196,8,20260908_145623
1788872122.2952988,8147522,2085765632,2085.765632,104,6,144,191,8,20260908_145623
1788872122.3052828,8147561,2085775616,2085.775616,107,81,144,182,8,20260908_145623
1788872122.3152668,8147600,2085785600,2085.7856,111,6,144,169,8,20260908_145623
1788872122.3252509,8147639,2085795584,2085.795584,114,66,144,156,8,20260908_145623
1788872122.3352349,8147678,2085805568,2085.805568,117,25,144,141,8,20260908_145623
1788872122.345219,8147717,2085815552,2085.815552,120,4,144,131,8,20260908_145623
1788872122.355203,8147756,2085825536,2085.825536,123,1,144,123,8,20260908_145623
1788872122.365187,8147795,2085835520,2085.83552,126,18,144,117,8,20260908_145623
1788872122.375171,8147834,2085845504,2085.845504,130,0,144,113,8,20260908_145623
1788872122.385155,8147873,2085855488,2085.855488,133,27,144,111,8,20260908_145623
1788872122.3953948,8147913,2085865728,2085.865728,136,1,144,111,8,20260908_145623
1788872122.4053788,8147952,2085875712,2085.875712,139,1,144,112,8,20260908_145623
1788872122.4153628,8147991,2085885696,2085.885696,142,22,144,113,8,20260908_145623
1788872122.4253469,8148030,2085895680,2085.89568,146,1,144,113,8,20260908_145623
1788872122.4353309,8148069,2085905664,2085.905664,149,6,144,112,8,20260908_145623
1788872122.445315,8148108,2085915648,2085.915648,152,0,144,111,8,20260908_145623
1788872122.455299,8148147,2085925632,2085.925632,155,1,144,112,8,20260908_145623
1788872122.465283,8148186,2085935616,2085.935616,158,1,144,114,8,20260908_145623
1788872122.475267,8148225,2085945600,2085.9456,162,0,145,117,8,20260908_145623
1788872122.485251,8148264,2085955584,2085.955584,165,37,144,119,8,20260908_145623
1788872122.495235,8148303,2085965568,2085.965568,168,0,144,120,8,20260908_145623
1788872122.505219,8148342,2085975552,2085.975552,171,90,145,122,8,20260908_145623
1788872122.515203,8148381,2085985536,2085.985536,174,0,144,117,8,20260908_145623
1788872122.5254428,8148421,2085995776,2085.995776,177,143,144,113,8,20260908_145623
1788872122.5354269,8148460,2086005760,2086.00576,181,25,145,120,8,20260908_145623
1788872122.5454109,8148499,2086015744,2086.015744,184,111,145,130,8,20260908_145623
1788872122.555395,8148538,2086025728,2086.025728,187,54,145,133,8,20260908_145623
1788872122.565379,8148577,2086035712,2086.035712,190,43,145,136,8,20260908_145623
1788872122.575363,8148616,2086045696,2086.045696,193,75,145,138,8,20260908_145623
1788872122.585347,8148655,2086055680,2086.05568,197,61,144,139,8,20260908_145623
1788872122.595331,8148694,2086065664,2086.065664,200,27,145,140,8,20260908_145623
1788872122.605315,8148733,2086075648,2086.075648,203,60,145,127,8,20260908_145623
1788872122.615299,8148772,2086085632,2086.085632,206,0,144,126,8,20260908_145623
1788872122.625283,8148811,2086095616,2086.095616,209,90,144,127,8,20260908_145623
1788872122.635267,8148850,2086105600,2086.1056,213,23,145,137,8,20260908_145623
1788872122.6455069,8148890,2086115840,2086.11584,216,68,145,149,8,20260908_145623
1788872122.6554909,8148929,2086125824,2086.125824,219,36,144,154,8,20260908_145623
1788872122.665475,8148968,2086135808,2086.135808,222,91,144,154,8,20260908_145623
1788872122.675459,8149007,2086145792,2086.145792,225,41,144,155,8,20260908_145623
1788872122.685443,8149046,2086155776,2086.155776,228,31,144,154,8,20260908_145623
1788872122.695427,8149085,2086165760,2086.16576,232,35,144,136,8,20260908_145623
1788872122.705411,8149124,2086175744,2086.175744,235,25,144,115,8,20260908_145623
1788872122.715395,8149163,2086185728,2086.185728,238,0,144,107,8,20260908_145623
1788872122.725379,8149202,2086195712,2086.195712,241,51,144,119,8,20260908_145623
1788872122.735363,8149241,2086205696,2086.205696,244,1,144,136,8,20260908_145623
1788872122.7453468,8149280,2086215680,2086.21568,248,50,144,149,8,20260908_145623
1788872122.7553308,8149319,2086225664,2086.225664,251,29,144,152,8,20260908_145623
1788872122.7653148,8149358,2086235648,2086.235648,254,0,144,152,8,20260908_145623
1788872122.775555,8149398,2086245888,2086.245888,2,28,144,151,8,20260908_145623
1788872122.785539,8149437,2086255872,2086.255872,5,1,144,149,8,20260908_145623
1788872122.795523,8149476,2086265856,2086.265856,9,0,144,147,8,20260908_145623
1788872122.805507,8149515,2086275840,2086.27584,12,12,144,143,8,20260908_145623
1788872122.815491,8149554,2086285824,2086.285824,15,1,144,139,8,20260908_145623
1788872122.825475,8149593,2086295808,2086.295808,18,1,144,135,8,20260908_145623
1788872122.835459,8149632,2086305792,2086.305792,21,3,144,130,8,20260908_145623
1788872122.845443,8149671,2086315776,2086.315776,24,0,144,125,8,20260908_145623
1788872122.8554268,8149710,2086325760,2086.32576,28,3,144,121,8,20260908_145623
1788872122.8654108,8149749,2086335744,2086.335744,31,0,144,117,8,20260908_145623
1788872122.8753948,8149788,2086345728,2086.345728,34,9,144,113,8,20260908_145623
1788872122.8853788,8149827,2086355712,2086.355712,37,17,144,110,8,20260908_145623
1788872122.895619,8149867,2086365952,2086.365952,40,0,144,107,8,20260908_145623
1788872122.905603,8149906,2086375936,2086.375936,44,59,144,105,8,20260908_145623
1788872122.915587,8149945,2086385920,2086.38592,47,2,144,103,8,20260908_145623
1788872122.925571,8149984,2086395904,2086.395904,50,51,144,102,8,20260908_145623
1788872122.935555,8150023,2086405888,2086.405888,53,3,144,101,8,20260908_145623
1788872122.945539,8150062,2086415872,2086.415872,56,92,144,101,8,20260908_145623
1788872122.955523,8150101,2086425856,2086.425856,59,4,144,101,8,20260908_145623
1788872122.9655068,8150140,2086435840,2086.43584,63,108,144,103,8,20260908_145623
1788872122.9754908,8150179,2086445824,2086.445824,66,27,144,106,8,20260908_145623
1788872122.9854748,8150218,2086455808,2086.455808,69,100,143,111,8,20260908_145623
1788872122.9954588,8150257,2086465792,2086.465792,72,41,143,116,8,20260908_145623
1788872123.0054429,8150296,2086475776,2086.475776,75,42,143,121,8,20260908_145623
1788872123.0154269,8150335,2086485760,2086.48576,79,34,143,124,8,20260908_145623
1788872123.025667,8150375,2086496000,2086.496,82,40,143,125,8,20260908_145623
1788872123.035651,8150414,2086505984,2086.505984,85,0,143,125,8,20260908_145623
1788872123.045635,8150453,2086515968,2086.515968,88,77,144,124,8,20260908_145623
1788872123.055619,8150492,2086525952,2086.525952,91,1,144,123,8,20260908_145623
1788872123.065603,8150531,2086535936,2086.535936,95,100,144,123,8,20260908_145623
1788872123.0755868,8150570,2086545920,2086.54592,98,16,144,122,8,20260908_145623
1788872123.0855708,8150609,2086555904,2086.555904,101,51,144,120,8,20260908_145623
