agent_id,energy_ratio,first_arg_agent_id,nrmse,other_agent_id,other_idx_in_pair,other_phase,pair_name,rank,reconstruction_mismatch_rmse,remaining_energy_ratio,removed_constant_energy_ratio,removed_other_energy_ratio,removed_self_energy_ratio,removed_total_energy_ratio,residual_energy_ratio,residual_nrmse,second_arg_agent_id,self_agent_id,self_idx_in_pair,self_phase,signal_index,source_agent_id,target_agent_id,total_energy_ratio,total_nrmse
8,0.92444796513166,8,0.630252298783824,7,1,phi_{7},7-8,3,0.0227143578480969,0.00566823611156447,0.0268499731111834,0,0.967481790777252,0.994331763888436,0.92444796513166,0.630252298783824,7,8,2,phi_{8},2,7,8,0.999571753227657,0.0591194063302469
8,0.953089943849078,8,0.615335425231296,7,1,phi_{7},7-8,4,0.0227143578480969,0.00566823611156447,0.0268499731111834,0,0.967481790777252,0.994331763888436,0.953089943849078,0.615335425231296,7,8,2,phi_{8},2,7,8,0.99973410272573,0.0577201623918582
8,0.971713862989508,8,0.605234840010521,7,1,phi_{7},7-8,5,0.0227143578480969,0.00566823611156447,0.0268499731111834,0,0.967481790777252,0.994331763888436,0.971713862989508,0.605234840010521,7,8,2,phi_{8},2,7,8,0.99983966749674,0.0567726996011749
7,0.75814029928752,7,0.802011590236257,9,2,phi_{9},7-9,1,0.016395354546004,0.00138077026444579,0.00326513491811007,0,0.995354094817444,0.998619229735554,0.75814029928752,0.802011590236257,9,7,1,phi_{7},1,9,7,0.999666047317088,0.0437381860885124
7,0.846368243643053,7,0.776221924963338,9,2,phi_{9},7-9,2,0.016395354546004,0.00138077026444579,0.00326513491811007,0,0.995354094817444,0.998619229735554,0.846368243643053,0.776221924963338,9,7,1,phi_{7},1,9,7,0.999787869839147,0.0423317311287592
7,0.883356942087556,7,0.764814128687331,9,2,phi_{9},7-9,3,0.016395354546004,0.00138077026444579,0.00326513491811007,0,0.995354094817444,0.998619229735554,0.883356942087556,0.764814128687331,9,7,1,phi_{7},1,9,7,0.99983894273408,0.0417096000742281
7,0.906600960000306,7,0.757661011678392,9,2,phi_{9},7-9,4,0.016395354546004,0.00138077026444579,0.00326513491811007,0,0.995354094817444,0.998619229735554,0.906600960000306,0.757661011678392,9,7,1,phi_{7},1,9,7,0.99987103738284,0.0413195005212307
7,0.926977709626119,7,0.751237155541351,9,2,phi_{9},7-9,5,0.016395354546004,0.00138077026444579,0.00326513491811007,0,0.995354094817444,0.998619229735554,0.926977709626119,0.751237155541351,9,7,1,phi_{7},1,9,7,0.99989917299281,0.0409691716499921
9,0.745448327730056,9,0.826755122399802,7,1,phi_{7},7-9,1,0.0176030032345312,0.00117907472854219,0.0324788689976336,0,0.966342056273825,0.998820925271458,0.745448327730056,0.826755122399802,7,9,2,phi_{9},2,7,9,0.999699864556119,0.0444478747407378
9,0.85445654660102,9,0.797635755239742,7,1,phi_{7},7-9,2,0.0176030032345312,0.00117907472854219,0.0324788689976336,0,0.966342056273825,0.998820925271458,0.85445654660102,0.797635755239742,7,9,2,phi_{9},2,7,9,0.999828393392193,0.0428823640484025
9,0.91263810995654,9,0.782253020143018,7,1,phi_{7},7-9,3,0.0176030032345312,0.00117907472854219,0.0324788689976336,0,0.966342056273825,0.998820925271458,0.91263810995654,0.782253020143018,7,9,2,phi_{9},2,7,9,0.999896993803213,0.0420553599401431
9,0.939782747258895,9,0.774738056810944,7,1,phi_{7},7-9,4,0.0176030032345312,0.00117907472854219,0.0324788689976336,0,0.966342056273825,0.998820925271458,0.939782747258895,0.774738056810944,7,9,2,phi_{9},2,7,9,0.999928999359071,0.041651341700866
9,0.959814284977905,9,0.769183457220653,7,1,phi_{7},7-9,5,0.0176030032345312,0.00117907472854219,0.0324788689976336,0,0.966342056273825,0.998820925271458,0.959814284977905,0.769183457220653,7,9,2,phi_{9},2,7,9,0.99995261803897,0.041352716218985
8,0.568676994803101,8,0.924889600734514,10,2,phi_{10},8-10,1,0.020752467702931,0.000823158117394367,0.0493152356640726,0,0.949861606218533,0.999176841882606,0.568676994803101,0.924889600734514,10,8,1,phi_{8},1,10,8,0.999644952967053,0.0532220640927017
8,0.704941853879995,8,0.905278917365626,10,2,phi_{10},8-10,2,0.020752467702931,0.000823158117394367,0.0493152356640726,0,0.949861606218533,0.999176841882606,0.704941853879995,0.905278917365626,10,8,1,phi_{8},1,10,8,0.999757120491918,0.052093582329763
