Rank,DirectionIndex,PairName,SourceID,TargetID,DirectionLabel,Weight
5,1,10-11,11,10,11 -> 10,-0.0462394406533095
5,2,10-11,10,11,10 -> 11,-0.0474951098518513
5,3,10-12,12,10,12 -> 10,-0.0316306001305149
5,4,10-12,10,12,10 -> 12,-0.0322926384290436
5,5,11-12,12,11,12 -> 11,-0.0288652633905495
5,6,11-12,11,12,11 -> 12,-0.0318158979985247
5,7,7-10,10,7,10 -> 7,0.0362008415142555
5,8,7-10,7,10,7 -> 10,0.0471433318614904
5,9,7-11,11,7,11 -> 7,0.0254107502137812
5,10,7-11,7,11,7 -> 11,0.0348198143909743
5,11,7-12,12,7,12 -> 7,0.0160874787303969
5,12,7-12,7,12,7 -> 12,0.021321091078352
5,13,7-8,8,7,8 -> 7,-0.0302691512355544
5,14,7-8,7,8,7 -> 8,-0.0437637258565285
5,15,7-9,9,7,9 -> 7,-0.0235280130685584
5,16,7-9,7,9,7 -> 9,-0.0285276151178776
5,17,8-10,10,8,10 -> 8,0.0357247190793749
5,18,8-10,8,10,8 -> 10,0.0336018221090621
5,19,8-11,11,8,11 -> 8,0.0223812862457609
5,20,8-11,8,11,8 -> 11,0.0182788357348305
5,21,8-9,9,8,9 -> 8,-0.0316432731627585
5,22,8-9,8,9,8 -> 9,-0.0312136796848295
5,23,9-10,10,9,10 -> 9,0.0201420985873762
5,24,9-10,9,10,9 -> 10,0.0206382584513686
5,25,9-11,11,9,11 -> 9,0.0131577340204784
5,26,9-11,9,11,9 -> 11,0.0115689015891728
5,27,9-12,12,9,12 -> 9,0.0256908173738336
5,28,9-12,9,12,9 -> 12,0.0206853047389901
6,1,10-11,11,10,11 -> 10,-0.0462210789836798
6,2,10-11,10,11,10 -> 11,-0.0474738356952878
6,3,10-12,12,10,12 -> 10,-0.0316321526241763
6,4,10-12,10,12,10 -> 12,-0.0323008958207206
6,5,11-12,12,11,12 -> 11,-0.0288804547738637
6,6,11-12,11,12,11 -> 12,-0.0318033743293805
6,7,7-10,10,7,10 -> 7,0.0361982659501752
6,8,7-10,7,10,7 -> 10,0.0471027463981205
6,9,7-11,11,7,11 -> 7,0.0256245775138131
6,10,7-11,7,11,7 -> 11,0.035340489354491
6,11,7-12,12,7,12 -> 7,0.0160606632013843
6,12,7-12,7,12,7 -> 12,0.0213293058068744
6,13,7-8,8,7,8 -> 7,-0.0302844424537284
6,14,7-8,7,8,7 -> 8,-0.0438260562010608
6,15,7-9,9,7,9 -> 7,-0.0235140214273308
6,16,7-9,7,9,7 -> 9,-0.0285341991169818
6,17,8-10,10,8,10 -> 8,0.0356852970393033
6,18,8-10,8,10,8 -> 10,0.0335731738557842
6,19,8-11,11,8,11 -> 8,0.0223710498442561
6,20,8-11,8,11,8 -> 11,0.0182532558778136
6,21,8-9,9,8,9 -> 8,-0.0316395963579406
6,22,8-9,8,9,8 -> 9,-0.0312494068427551
6,23,9-10,10,9,10 -> 9,0.0201363375525156
6,24,9-10,9,10,9 -> 10,0.0206241707656264
6,25,9-11,11,9,11 -> 9,0.0131428420633568
6,26,9-11,9,11,9 -> 11,0.0115621521843248
6,27,9-12,12,9,12 -> 9,0.0256868911732382
6,28,9-12,9,12,9 -> 12,0.0206722061266428
7,1,10-11,11,10,11 -> 10,-0.0462280451648356
7,2,10-11,10,11,10 -> 11,-0.0474718454803408
7,3,10-12,12,10,12 -> 10,-0.0316369484714854
7,4,10-12,10,12,10 -> 12,-0.0323094922909808
7,5,11-12,12,11,12 -> 11,-0.028871543576262
7,6,11-12,11,12,11 -> 12,-0.0318006251850697
7,7,7-10,10,7,10 -> 7,0.036111171692726
7,8,7-10,7,10,7 -> 10,0.047050954880564
7,9,7-11,11,7,11 -> 7,0.0258074357858208
7,10,7-11,7,11,7 -> 11,0.0358224897467508
7,11,7-12,12,7,12 -> 7,0.0160196546718675
7,12,7-12,7,12,7 -> 12,0.0212726354514406
7,13,7-8,8,7,8 -> 7,-0.0302974718399285
7,14,7-8,7,8,7 -> 8,-0.0439069791073887
7,15,7-9,9,7,9 -> 7,-0.0235099834410378
7,16,7-9,7,9,7 -> 9,-0.0285500576209194
7,17,8-10,10,8,10 -> 8,0.0356861481586291
7,18,8-10,8,10,8 -> 10,0.0335477994708585
7,19,8-11,11,8,11 -> 8,0.0223422241864821
7,20,8-11,8,11,8 -> 11,0.018234364215344
7,21,8-9,9,8,9 -> 8,-0.0316818008005914
7,22,8-9,8,9,8 -> 9,-0.0312844933901946
7,23,9-10,10,9,10 -> 9,0.0201395348780817
7,24,9-10,9,10,9 -> 10,0.0205989965517712
7,25,9-11,11,9,11 -> 9,0.0131367044267676
7,26,9-11,9,11,9 -> 11,0.0115422349414045
7,27,9-12,12,9,12 -> 9,0.025675408475379
7,28,9-12,9,12,9 -> 12,0.0206319315313987
8,1,10-11,11,10,11 -> 10,-0.0461752802744919
8,2,10-11,10,11,10 -> 11,-0.0474573682043813
8,3,10-12,12,10,12 -> 10,-0.0316070716193468
8,4,10-12,10,12,10 -> 12,-0.0322925997414272
8,5,11-12,12,11,12 -> 11,-0.028856055230333
8,6,11-12,11,12,11 -> 12,-0.0317893219131337
8,7,7-10,10,7,10 -> 7,0.0361016682204675
8,8,7-10,7,10,7 -> 10,0.0470564615920837
8,9,7-11,11,7,11 -> 7,0.0258531211470745
8,10,7-11,7,11,7 -> 11,0.0363600626524046
8,11,7-12,12,7,12 -> 7,0.0160204702903138
8,12,7-12,7,12,7 -> 12,0.0212735130640332
8,13,7-8,8,7,8 -> 7,-0.0302688069946628
8,14,7-8,7,8,7 -> 8,-0.0438762267583902
8,15,7-9,9,7,9 -> 7,-0.0235101921715774
8,16,7-9,7,9,7 -> 9,-0.0285410445869478
8,17,8-10,10,8,10 -> 8,0.0356735201376456
8,18,8-10,8,10,8 -> 10,0.0335228828411411
8,19,8-11,11,8,11 -> 8,0.0223443290677845
8,20,8-11,8,11,8 -> 11,0.0182115128241681
8,21,8-9,9,8,9 -> 8,-0.0316770128469023
8,22,8-9,8,9,8 -> 9,-0.0312645160095292
8,23,9-10,10,9,10 -> 9,0.0201397365596769
8,24,9-10,9,10,9 -> 10,0.0205770883247563
8,25,9-11,11,9,11 -> 9,0.0131365023943885
8,26,9-11,9,11,9 -> 11,0.0115473783199051
8,27,9-12,12,9,12 -> 9,0.0257131970239352
8,28,9-12,9,12,9 -> 12,0.0206629413879311
9,1,10-11,11,10,11 -> 10,-0.0461750992858011
9,2,10-11,10,11,10 -> 11,-0.0474604111033871
9,3,10-12,12,10,12 -> 10,-0.0316140353011131
9,4,10-12,10,12,10 -> 12,-0.0322816724035827
