agent_id,energy_ratio,nrmse,pair_name,rank,reconstruction_mismatch_rmse,remaining_energy_ratio,removed_constant_energy_ratio,removed_other_energy_ratio,removed_self_energy_ratio,removed_total_energy_ratio,residual_energy_ratio,residual_nrmse,self_phase,signal_index,total_energy_ratio,total_nrmse
8,0.993582625270607,0.457107895037512,7-8,4,0.0228961083195885,0.0122949112732581,0.0093480996042805,0,0.978356989122462,0.987705088726742,0.993582625270607,0.457107895037512,phi2,2,0.999921098947095,0.0565449249324623
8,0.997115346752452,0.453892589569379,7-8,5,0.0228961083195885,0.0122949112732581,0.0093480996042805,0,0.978356989122462,0.987705088726742,0.997115346752452,0.453892589569379,phi2,2,0.999964533444267,0.0561471868747645
7,0.8434830502105,0.542086301557164,7-9,1,0.0268473393452236,0.0222244971420749,0.00610215875564166,0,0.971673344102283,0.977775502857925,0.8434830502105,0.542086301557164,phi1,1,0.996521489496717,0.0881480049599208
7,0.977485898141562,0.425440481182962,7-9,2,0.0268473393452236,0.0222244971420749,0.00610215875564166,0,0.971673344102283,0.977775502857925,0.977485898141562,0.425440481182962,phi1,1,0.999499635407591,0.0691803676605397
7,0.98641588393528,0.416354632668541,7-9,3,0.0268473393452236,0.0222244971420749,0.00610215875564166,0,0.971673344102283,0.977775502857925,0.98641588393528,0.416354632668541,phi1,1,0.999698099851342,0.0677029287036547
7,0.993897949227237,0.408678696294692,7-9,4,0.0268473393452236,0.0222244971420749,0.00610215875564166,0,0.971673344102283,0.977775502857925,0.993897949227237,0.408678696294692,phi1,1,0.99986438499004,0.0664547538731702
7,0.997191750736725,0.405281835805581,7-9,5,0.0268473393452236,0.0222244971420749,0.00610215875564166,0,0.971673344102283,0.977775502857925,0.997191750736725,0.405281835805581,phi1,1,0.999937588072274,0.065902394452941
9,0.947162566270932,0.395536230601256,7-9,1,0.0238827438802614,0.0258195374596188,0.0239075633155972,0,0.950272899224784,0.974180462540381,0.947162566270932,0.395536230601256,phi2,2,0.998635761900562,0.0683285830963005
9,0.980372051751686,0.356763271750825,7-9,2,0.0238827438802614,0.0258195374596188,0.0239075633155972,0,0.950272899224784,0.974180462540381,0.980372051751686,0.356763271750825,phi2,2,0.999493215454947,0.0616305839353288
9,0.989727495070776,0.345184324185232,7-9,3,0.0238827438802614,0.0258195374596188,0.0239075633155972,0,0.950272899224784,0.974180462540381,0.989727495070776,0.345184324185232,phi2,2,0.999734768674176,0.0596303295472527
9,0.994950743701439,0.338567382697404,7-9,4,0.0238827438802614,0.0258195374596188,0.0239075633155972,0,0.950272899224784,0.974180462540381,0.994950743701439,0.338567382697404,phi2,2,0.999869630537856,0.058487257936323
9,0.997163889517265,0.335660786260738,7-9,5,0.0238827438802614,0.0258195374596188,0.0239075633155972,0,0.950272899224784,0.974180462540381,0.997163889517265,0.335660786260738,phi2,2,0.999926772939151,0.0579851456118761
