phi,a_1_shared,b_1_7_10_10to7,b_1_7_10_7to10,b_1_7_8_8to7,b_1_7_8_7to8,b_1_7_9_9to7,b_1_7_9_7to9,b_1_8_10_10to8,b_1_8_10_8to10,b_1_8_9_9to8,b_1_8_9_8to9,b_1_9_10_10to9,b_1_9_10_9to10,a_2_shared,b_2_7_10_10to7,b_2_7_10_7to10,b_2_7_8_8to7,b_2_7_8_7to8,b_2_7_9_9to7,b_2_7_9_7to9,b_2_8_10_10to8,b_2_8_10_8to10,b_2_8_9_9to8,b_2_8_9_8to9,b_2_9_10_10to9,b_2_9_10_9to10,a_3_shared,b_3_7_10_10to7,b_3_7_10_7to10,b_3_7_8_8to7,b_3_7_8_7to8,b_3_7_9_9to7,b_3_7_9_7to9,b_3_8_10_10to8,b_3_8_10_8to10,b_3_8_9_9to8,b_3_8_9_8to9,b_3_9_10_10to9,b_3_9_10_9to10
5.29951637454873,0.0168919134782667,-0.00873637145730349,-0.0390523259036881,-0.0100407176459856,0.0639937963712502,-0.0137254926793019,-0.0655508107122401,-0.0508868025785335,-0.0397373352567075,-0.0112435507331349,-0.0236864208591049,0.00645474976784274,0.0426563644032739,0.0481705756275024,0.0680043126897632,0.082579016986554,-0.0214301491619724,0.0103155983039916,0.150534989979583,0.0565928737728252,0.0809070042052808,0.040100979267718,0.0556803106363236,0.0839061478769569,-0.0362579103295135,-0.0230841633368583,-0.0199231126775483,0.0270590732563031,0.0086317091715979,-0.0406966107323861,-0.0264562668774722,-0.0363129333299223,0.0159544630766652,0.021697192327381,-0.0151797572805135,-0.00640345803098432,0.00159443099525266,-0.0225577734158978,-0.046407349739056
5.31181223620662,0.0166489104543426,-0.0100024017667764,-0.041226194829913,-0.00759078306899579,0.0655892653767719,-0.016376680350694,-0.0691765767005018,-0.052931478003952,-0.0414133721160313,-0.0127692592212341,-0.0253582371249558,0.00760453745905426,0.0448496108937494,0.0464424319227533,0.0675021283126898,0.0827737240416805,-0.0201271155617216,0.0100318889130932,0.150785362068457,0.0558182675602043,0.0801129640771186,0.0395497149178543,0.0557518377552544,0.0839918766359715,-0.0352059782839106,-0.0211854837729544,-0.0172312296260622,0.0274050689096709,0.00820926076583517,-0.0400471557905107,-0.0250281153966608,-0.0355181433315323,0.0169262571579534,0.022484345767572,-0.0154220312740023,-0.00582373097193408,0.00173367036701198,-0.0231303997517404,-0.0446747605895677
5.3241080978645,0.0163114496714169,-0.0112904295465686,-0.0434223991210383,-0.00516065846397592,0.0672713526714139,-0.0190218854455408,-0.0727823236273211,-0.0549835789293076,-0.0430956478115599,-0.0142994325936101,-0.0270635744683194,0.00879160332039349,0.0470592080514255,0.0445275174075024,0.0669795601631519,0.0829568579377674,-0.018853367517467,0.00970783131804574,0.151069144152903,0.0551968006383446,0.0793749821660879,0.0391327421699898,0.0558241253368821,0.0841181934681341,-0.0341519562481745,-0.0191485601070684,-0.0145938833757591,0.0277469606885745,0.00765756653811002,-0.0393283678585369,-0.0235794941709359,-0.0346634337946199,0.0178093631626432,0.0232308896468644,-0.0156219502863922,-0.00524707649182194,0.00183341755168584,-0.0236910342688757,-0.0428070778710036
5.33640395952239,0.0158750123170778,-0.0126020555095592,-0.0456403023218626,-0.00275124294369543,0.0690408010545173,-0.0216621868664139,-0.0763677580454153,-0.0570476431748941,-0.0447886478642354,-0.0158367743065003,-0.028804654628318,0.0100203720435217,0.0492857479921597,0.0424574881067849,0.0664329175169058,0.0831274319141763,-0.0176090119102414,0.00934394126646554,0.151376863778509,0.0547247386612966,0.0786957428568089,0.0388526847842082,0.0558990337848599,0.0842841268409802,-0.03309492072884,-0.0169860963939043,-0.0120583646636817,0.0280824241272459,0.00697836300917315,-0.0385429611580008,-0.0221020604563286,-0.0337519573408002,0.0186121223207161,0.0239361887609731,-0.0157848561863247,-0.00467469071363788,0.00189695942565754,-0.0242386188878444,-0.0407966472212227
5.34869982118027,0.0153366545072312,-0.0139386231245839,-0.0478786811914561,-0.000363124590031594,0.0708967329301426,-0.0242985568551773,-0.0799325272248288,-0.0591276637038133,-0.0464966078240944,-0.0173837993355875,-0.0305832441896367,0.0112947846390655,0.0515292333399156,0.0402652584777185,0.0658585279422752,0.0832838227573809,-0.0163937346571385,0.00894090415160719,0.151698315643777,0.0543967086648593,0.0780772177889666,0.0387109276775296,0.0559780079380928,0.0844877690224351,-0.0320340221671087,-0.0147121696265167,-0.00966685455816735,0.0284089383236609,0.00617471094902735,-0.037694009994203,-0.0205872751248942,-0.0327873162731139,0.0193437085746344,0.024599573320461,-0.0159166443539358,-0.00410747859902675,0.00192776875364871,-0.0247714323956913,-0.0386362753959952
5.36099568283816,0.0146949681683433,-0.0153011998883068,-0.050135722945506,0.00200340804084708,0.072836687967688,-0.0269318418431592,-0.083476212623716,-0.0612270358283787,-0.0482234572579727,-0.0189427992003086,-0.0324006266558496,0.0126182559276928,0.0537890635539502,0.0379844621207273,0.0652527764850483,0.0834238128321567,-0.0152067962208162,0.00849953002758501,0.152022674022823,0.0542058056871387,0.0775206803242823,0.0387075869806143,0.0560620715856656,0.0847263032630743,-0.0309685178894342,-0.0123421190763699,-0.00745617263968684,0.0287238055789058,0.00525094316876736,-0.0367849022219285,-0.0190265511522756,-0.0317735222640891,0.0200139982904892,0.0252203312624513,-0.0160236668527982,-0.00354607575139327,0.0019294432083348,-0.0252871027462771,-0.0363193495870586
5.37329154449605,0.0139500339950337,-0.0166905622106818,-0.0524090311441891,0.0043483508183151,0.074856681696458,-0.0295627447533413,-0.0869983231258803,-0.0633485137239419,-0.0499727671693074,-0.0205158105672361,-0.0342575800165527,0.013993638714595,0.0560640298575469,0.0356489181001736,0.0646121426858983,0.0835446422488789,-0.0140470335510466,0.00802070590776131,0.152338610508086,0.0541437127377179,0.0770267267768182,0.0388414916990191,0.0561518278271617,0.084996043796159,-0.029897804594101,-0.00989242187465791,-0.0054576056064459,0.0290241747643225,0.0042125988448488,-0.0358192893239085,-0.0174114040617372,-0.0307149491289806,0.0206334339785718,0.0257977040128447,-0.016112627282005,-0.00299087544259931,0.00190564411995835,-0.025782630031707,-0.0338399551214867
5.38558740615393,0.0131033666165704,-0.0181071840713584,-0.0546956401540168,0.00667196553659027,0.0769512840322446,-0.0321918089639788,-0.090498288011444,-0.0654941766463089,-0.0517477013486692,-0.0221045877921316,-0.0361543600545,0.0154231950016408,0.0583523188463025,0.033292110324161,0.0639332350175632,0.0836430701894013,-0.0129128686184066,0.00750534632738156,0.152634415714379,0.0542008322744139,0.0765953038843731,0.0391101772142321,0.0562474651484534,0.0852924880912444,-0.0288214498772034,-0.00738055605613435,-0.0036968154173035,0.0293070681623052,0.00306634537264005,-0.034801033871958,-0.0157336023265696,-0.0296162793550588,0.0212128837672538,0.0263308859423584,-0.0161904687050465,-0.00244206026095673,0.00186003588344624,-0.0262544198551415,-0.03119299000385
5.39788326781182,0.01215785211232,-0.0195512295528022,-0.0569920379906811,0.0089747582511127,0.0791137164746923,-0.0348194041241907,-0.0939754496453073,-0.0676654051059106,-0.0535509721065129,-0.0237105797005431,-0.0380906895684718,0.016908574497815,0.0606515247373555,0.0309466871027309,0.0632128223845179,0.0837154442813674,-0.0118023235965578,0.00695434319524276,0.152898123563934,0.0543664272619167,0.0762257419300133,0.0395098907402628,0.0563487690086141,0.0856103806244657,-0.0277392223013748,-0.00482485242903945,-0.0021938250454895,0.0295694114691516,0.00181988887944768,-0.0337341551770589,-0.0139853157330524,-0.0284824451684253,0.0217634984020946,0.0268190276946754,-0.0162642561727911,-0.00189963769701234,0.00179622693533788,-0.0266983266922246,-0.028374274769665
5.4101791294697,0.0111176780323504,-0.0210225493032847,-0.0592941972311321,0.0112574547299304,0.0813359664735666,-0.0374457139907177,-0.0974290558879319,-0.0698628671074115,-0.0553848007886745,-0.0253349108435419,-0.0400657536152421,0.0184508005924922,0.0629586701046581,0.0286439875774145,0.0624478623871523,0.0837577767965466,-0.010713042643361,0.00636851598555628,0.153117636767418,0.0546287698296976,0.075916792863688,0.0400356087314238,0.0564551386627567,0.0859437872664806,-0.0266511195179741,-0.00224433676168139,-0.000963078934638798,0.0298080665949658,0.000481874644648411,-0.0326227739589904,-0.0121592597321907,-0.0273185650189551,0.0222965675472787,0.0272612434952895,-0.016341055458658,-0.00136347891375483,0.00171771318414728,-0.0271097066907957,-0.0253806561455256
