agent_id,energy_ratio,first_arg_agent_id,nrmse,other_agent_id,other_idx_in_pair,other_phase,pair_name,rank,reconstruction_mismatch_rmse,remaining_energy_ratio,removed_constant_energy_ratio,removed_other_energy_ratio,removed_self_energy_ratio,removed_total_energy_ratio,residual_energy_ratio,residual_nrmse,second_arg_agent_id,self_agent_id,self_idx_in_pair,self_phase,signal_index,source_agent_id,target_agent_id,total_energy_ratio,total_nrmse
8,0.983913188210425,8,0.252275866937121,7,1,phi_{7},7-8,5,0.0171616456613393,0.0319821877184478,0.0526645724846994,0,0.915353239796853,0.968017812281553,0.983913188210425,0.252275866937121,7,8,2,phi_{8},2,7,8,0.999485508565555,0.0474059926723964
7,0.91777317830013,7,0.418776560858268,9,2,phi_{9},7-9,1,0.0170537479485175,0.0148685428920818,0.00392941219728608,0,0.981202044910632,0.985131457107918,0.91777317830013,0.418776560858268,9,7,1,phi_{7},1,9,7,0.998777406974676,0.0542222298858309
7,0.954082691573151,7,0.378877954785155,9,2,phi_{9},7-9,2,0.0170537479485175,0.0148685428920818,0.00392941219728608,0,0.981202044910632,0.985131457107918,0.954082691573151,0.378877954785155,9,7,1,phi_{7},1,9,7,0.999317276530167,0.0490562497598498
7,0.97245314697256,7,0.356639897902464,9,2,phi_{9},7-9,3,0.0170537479485175,0.0148685428920818,0.00392941219728608,0,0.981202044910632,0.985131457107918,0.97245314697256,0.356639897902464,9,7,1,phi_{7},1,9,7,0.99959041843422,0.0461769170912873
7,0.979254223251406,7,0.348052529548843,9,2,phi_{9},7-9,4,0.0170537479485175,0.0148685428920818,0.00392941219728608,0,0.981202044910632,0.985131457107918,0.979254223251406,0.348052529548843,9,7,1,phi_{7},1,9,7,0.999691540528584,0.0450650443063586
7,0.985209414178217,7,0.340127996662753,9,2,phi_{9},7-9,5,0.0170537479485175,0.0148685428920818,0.00392941219728608,0,0.981202044910632,0.985131457107918,0.985209414178217,0.340127996662753,9,7,1,phi_{7},1,9,7,0.99978008554031,0.0440389939395311
9,0.92796884511621,9,0.410476651350335,7,1,phi_{7},7-9,1,0.0201496991334788,0.0195408223191982,0.0203496608791203,0,0.960109516801681,0.980459177680802,0.92796884511621,0.410476651350335,7,9,2,phi_{9},2,7,9,0.998592452000969,0.0609173561920173
9,0.955870645954726,9,0.378587657947108,7,1,phi_{7},7-9,2,0.0201496991334788,0.0195408223191982,0.0203496608791203,0,0.960109516801681,0.980459177680802,0.955870645954726,0.378587657947108,7,9,2,phi_{9},2,7,9,0.99913767613354,0.0561848259412496
9,0.977542265071127,9,0.350948324374143,7,1,phi_{7},7-9,3,0.0201496991334788,0.0195408223191982,0.0203496608791203,0,0.960109516801681,0.980459177680802,0.977542265071127,0.350948324374143,7,9,2,phi_{9},2,7,9,0.999561157392063,0.0520829723458371
9,0.985199105355399,9,0.341050239560167,7,1,phi_{7},7-9,4,0.0201496991334788,0.0195408223191982,0.0203496608791203,0,0.960109516801681,0.980459177680802,0.985199105355399,0.341050239560167,7,9,2,phi_{9},2,7,9,0.999710778347585,0.0506140333544275
9,0.989864377179558,9,0.334809037630625,7,1,phi_{7},7-9,5,0.0201496991334788,0.0195408223191982,0.0203496608791203,0,0.960109516801681,0.980459177680802,0.989864377179558,0.334809037630625,7,9,2,phi_{9},2,7,9,0.999801941595371,0.0496877991343872
8,0.858465028401791,8,0.673039719372066,10,2,phi_{10},8-10,1,0.0131596286607382,0.00171315212358517,0.0321357873886151,0,0.9661510604878,0.998286847876415,0.858465028401791,0.673039719372066,10,8,1,phi_{8},1,10,8,0.999757529062845,0.0352145473031416
8,0.92748107196301,8,0.639001358674965,10,2,phi_{10},8-10,2,0.0131596286607382,0.00171315212358517,0.0321357873886151,0,0.9661510604878,0.998286847876415,0.92748107196301,0.639001358674965,10,8,1,phi_{8},1,10,8,0.999875764044433,0.0334336041754347
8,0.950497281972886,8,0.627399835001215,10,2,phi_{10},8-10,3,0.0131596286607382,0.00171315212358517,0.0321357873886151,0,0.9661510604878,0.998286847876415,0.950497281972886,0.627399835001215,10,8,1,phi_{8},1,10,8,0.999915194313488,0.0328265933372349
8,0.96611092162534,8,0.61936621648183,10,2,phi_{10},8-10,4,0.0131596286607382,0.00171315212358517,0.0321357873886151,0,0.9661510604878,0.998286847876415,0.96611092162534,0.61936621648183,10,8,1,phi_{8},1,10,8,0.999941942853416,0.0324062611767047
8,0.975240944635209,8,0.614648163258124,10,2,phi_{10},8-10,5,0.0131596286607382,0.00171315212358517,0.0321357873886151,0,0.9661510604878,0.998286847876415,0.975240944635209,0.614648163258124,10,8,1,phi_{8},1,10,8,0.999957583971724,0.0321594048565756
10,0.744365206573208,10,0.815563079547743,8,1,phi_{8},8-10,1,0.0180954106586571,0.00152801249025445,0.0118605106815377,0,0.986611476828208,0.998471987509746,0.744365206573208,0.815563079547743,8,10,2,phi_{10},2,8,10,0.9996093868427,0.0478158394233097
10,0.849020640969078,10,0.785930881290703,8,1,phi_{8},8-10,2,0.0180954106586571,0.00152801249025445,0.0118605106815377,0,0.986611476828208,0.998471987509746,0.849020640969078,0.785930881290703,8,10,2,phi_{10},2,8,10,0.99976930165363,0.0460785263090328
10,0.889559947971442,10,0.774350169553133,8,1,phi_{8},8-10,3,0.0180954106586571,0.00152801249025445,0.0118605106815377,0,0.986611476828208,0.998471987509746,0.889559947971442,0.774350169553133,8,10,2,phi_{10},2,8,10,0.999831246221076,0.045399558039456
10,0.914787080123079,10,0.766823904529188,8,1,phi_{8},8-10,4,0.0180954106586571,0.00152801249025445,0.0118605106815377,0,0.986611476828208,0.998471987509746,0.914787080123079,0.766823904529188,8,10,2,phi_{10},2,8,10,0.999869793594097,0.0449582988789239
10,0.938053663860115,10,0.760005695158657,8,1,phi_{8},8-10,5,0.0180954106586571,0.00152801249025445,0.0118605106815377,0,0.986611476828208,0.998471987509746,0.938053663860115,0.760005695158657,8,10,2,phi_{10},2,8,10,0.999905345224653,0.0445585524796673
