time_pc_sec_abs,micros32,micros32_raw,time_local_sec,a0,a1,a2,a3,agent_id,chunk_id
1788885282.388281,1821461,466294016,466.294016,184,107,145,115,9,20260908_183537
1788885282.3982651,1821500,466304000,466.304,188,27,145,114,9,20260908_183537
1788885282.4082491,1821539,466313984,466.313984,191,49,145,113,9,20260908_183537
1788885282.4182332,1821578,466323968,466.323968,194,2,145,113,9,20260908_183537
1788885282.4282172,1821617,466333952,466.333952,197,102,145,113,9,20260908_183537
1788885282.4382012,1821656,466343936,466.343936,200,30,145,114,9,20260908_183537
1788885282.4481852,1821695,466353920,466.35392,204,43,145,114,9,20260908_183537
1788885282.4581692,1821734,466363904,466.363904,207,55,145,113,9,20260908_183537
1788885282.4681532,1821773,466373888,466.373888,210,14,145,112,9,20260908_183537
1788885282.4781373,1821812,466383872,466.383872,213,15,145,112,9,20260908_183537
1788885282.4881213,1821851,466393856,466.393856,216,59,145,111,9,20260908_183537
1788885282.4981053,1821890,466403840,466.40384,219,14,145,110,9,20260908_183537
1788885282.5080893,1821929,466413824,466.413824,223,72,145,111,9,20260908_183537
1788885282.5183291,1821969,466424064,466.424064,226,0,145,113,9,20260908_183537
1788885282.5283132,1822008,466434048,466.434048,229,103,145,114,9,20260908_183537
1788885282.5382972,1822047,466444032,466.444032,232,27,146,115,9,20260908_183537
1788885282.5482812,1822086,466454016,466.454016,235,66,146,115,9,20260908_183537
1788885282.5582652,1822125,466464000,466.464,239,34,146,116,9,20260908_183537
1788885282.5682492,1822164,466473984,466.473984,242,9,146,117,9,20260908_183537
1788885282.5782332,1822203,466483968,466.483968,245,22,146,119,9,20260908_183537
1788885282.5882173,1822242,466493952,466.493952,248,14,146,121,9,20260908_183537
1788885282.5982013,1822281,466503936,466.503936,251,0,146,122,9,20260908_183537
1788885282.6081853,1822320,466513920,466.51392,0,42,146,123,9,20260908_183537
1788885282.6181693,1822359,466523904,466.523904,3,0,146,123,9,20260908_183537
1788885282.628153,1822398,466533888,466.533888,6,0,146,123,9,20260908_183537
1788885282.6383932,1822438,466544128,466.544128,9,11,146,124,9,20260908_183537
1788885282.6483772,1822477,466554112,466.554112,12,1,146,124,9,20260908_183537
1788885282.6583612,1822516,466564096,466.564096,15,9,146,124,9,20260908_183537
1788885282.6683452,1822555,466574080,466.57408,19,6,146,124,9,20260908_183537
1788885282.6783292,1822594,466584064,466.584064,22,1,146,124,9,20260908_183537
1788885282.6883132,1822633,466594048,466.594048,25,26,146,124,9,20260908_183537
1788885282.6982973,1822672,466604032,466.604032,28,1,146,123,9,20260908_183537
1788885282.7082813,1822711,466614016,466.614016,31,119,146,123,9,20260908_183537
1788885282.7182653,1822750,466624000,466.624,35,0,146,123,9,20260908_183537
1788885282.7282493,1822789,466633984,466.633984,38,147,146,123,9,20260908_183537
1788885282.738233,1822828,466643968,466.643968,41,31,146,122,9,20260908_183537
1788885282.7484732,1822868,466654208,466.654208,44,52,146,121,9,20260908_183537
1788885282.7584572,1822907,466664192,466.664192,47,4,146,120,9,20260908_183537
1788885282.7684412,1822946,466674176,466.674176,51,44,146,119,9,20260908_183537
1788885282.7784252,1822985,466684160,466.68416,54,99,146,116,9,20260908_183537
1788885282.7884092,1823024,466694144,466.694144,57,83,146,114,9,20260908_183537
1788885282.7983932,1823063,466704128,466.704128,60,11,146,112,9,20260908_183537
1788885282.8083773,1823102,466714112,466.714112,63,34,146,111,9,20260908_183537
1788885282.8183613,1823141,466724096,466.724096,66,0,146,111,9,20260908_183537
1788885282.8283453,1823180,466734080,466.73408,70,77,146,110,9,20260908_183537
1788885282.8383293,1823219,466744064,466.744064,73,1,146,108,9,20260908_183537
1788885282.848313,1823258,466754048,466.754048,76,89,146,107,9,20260908_183537
1788885282.858297,1823297,466764032,466.764032,79,34,146,106,9,20260908_183537
1788885282.8682811,1823336,466774016,466.774016,82,43,146,107,9,20260908_183537
1788885282.8785212,1823376,466784256,466.784256,86,57,146,109,9,20260908_183537
1788885282.8885052,1823415,466794240,466.79424,89,90,146,110,9,20260908_183537
1788885282.8984892,1823454,466804224,466.804224,92,10,146,110,9,20260908_183537
1788885282.9084733,1823493,466814208,466.814208,95,24,146,111,9,20260908_183537
1788885282.9184573,1823532,466824192,466.824192,98,22,146,112,9,20260908_183537
1788885282.9284413,1823571,466834176,466.834176,102,53,146,112,9,20260908_183537
1788885282.9384253,1823610,466844160,466.84416,105,0,146,113,9,20260908_183537
1788885282.9484093,1823649,466854144,466.854144,108,81,146,113,9,20260908_183537
1788885282.958393,1823688,466864128,466.864128,111,40,146,114,9,20260908_183537
1788885282.968377,1823727,466874112,466.874112,114,0,146,114,9,20260908_183537
1788885282.9783611,1823766,466884096,466.884096,117,51,146,116,9,20260908_183537
1788885282.9883451,1823805,466894080,466.89408,121,17,146,117,9,20260908_183537
1788885282.9985852,1823845,466904320,466.90432,124,1,146,117,9,20260908_183537
1788885283.0085692,1823884,466914304,466.914304,127,2,146,118,9,20260908_183537
1788885283.0185533,1823923,466924288,466.924288,130,0,146,119,9,20260908_183537
1788885283.0285373,1823962,466934272,466.934272,133,0,146,119,9,20260908_183537
1788885283.0385213,1824001,466944256,466.944256,137,1,146,120,9,20260908_183537
1788885283.0485053,1824040,466954240,466.95424,140,0,146,120,9,20260908_183537
1788885283.058489,1824079,466964224,466.964224,143,11,146,120,9,20260908_183537
1788885283.068473,1824118,466974208,466.974208,146,1,146,120,9,20260908_183537
1788885283.078457,1824157,466984192,466.984192,149,3,146,120,9,20260908_183537
1788885283.0884411,1824196,466994176,466.994176,153,6,146,121,9,20260908_183537
1788885283.0984251,1824235,467004160,467.00416,156,2,146,121,9,20260908_183537
1788885283.1084092,1824274,467014144,467.014144,159,3,146,121,9,20260908_183537
1788885283.1186492,1824314,467024384,467.024384,162,0,146,121,9,20260908_183537
1788885283.1286333,1824353,467034368,467.034368,165,120,146,121,9,20260908_183537
1788885283.1386173,1824392,467044352,467.044352,168,7,146,121,9,20260908_183537
1788885283.1486013,1824431,467054336,467.054336,172,86,146,121,9,20260908_183537
1788885283.1585853,1824470,467064320,467.06432,175,5,146,121,9,20260908_183537
1788885283.168569,1824509,467074304,467.074304,178,132,146,120,9,20260908_183537
1788885283.178553,1824548,467084288,467.084288,181,46,146,120,9,20260908_183537
1788885283.1885371,1824587,467094272,467.094272,184,112,146,119,9,20260908_183537
1788885283.1985211,1824626,467104256,467.104256,188,59,146,117,9,20260908_183537
1788885283.2085052,1824665,467114240,467.11424,191,36,146,115,9,20260908_183537
1788885283.2184892,1824704,467124224,467.124224,194,2,146,112,9,20260908_183537
1788885283.2284732,1824743,467134208,467.134208,197,79,146,111,9,20260908_183537
1788885283.2384572,1824782,467144192,467.144192,200,0,146,111,9,20260908_183537
1788885283.2486973,1824822,467154432,467.154432,204,84,146,111,9,20260908_183537
1788885283.2586813,1824861,467164416,467.164416,207,0,146,110,9,20260908_183537
1788885283.2686653,1824900,467174400,467.1744,210,87,146,109,9,20260908_183537
1788885283.278649,1824939,467184384,467.184384,213,24,146,109,9,20260908_183537
1788885283.288633,1824978,467194368,467.194368,216,106,146,111,9,20260908_183537
1788885283.2986171,1825017,467204352,467.204352,219,35,146,115,9,20260908_183537
1788885283.3086011,1825056,467214336,467.214336,223,59,146,117,9,20260908_183537
1788885283.3185852,1825095,467224320,467.22432,226,2,146,119,9,20260908_183537
1788885283.3285692,1825134,467234304,467.234304,229,16,146,122,9,20260908_183537
1788885283.3385532,1825173,467244288,467.244288,232,1,146,125,9,20260908_183537
1788885283.3485372,1825212,467254272,467.254272,235,82,146,128,9,20260908_183537
1788885283.3585212,1825251,467264256,467.264256,239,1,146,129,9,20260908_183537
1788885283.3687613,1825291,467274496,467.274496,242,78,146,131,9,20260908_183537
1788885283.3787453,1825330,467284480,467.28448,245,40,146,131,9,20260908_183537
1788885283.388729,1825369,467294464,467.294464,248,2,146,132,9,20260908_183537
1788885283.398713,1825408,467304448,467.304448,251,18,146,133,9,20260908_183537
1788885283.4086971,1825447,467314432,467.314432,0,0,146,133,9,20260908_183537
1788885283.4186811,1825486,467324416,467.324416,3,1,146,133,9,20260908_183537
1788885283.4286652,1825525,467334400,467.3344,6,0,147,133,9,20260908_183537
1788885283.4386492,1825564,467344384,467.344384,9,1,147,133,9,20260908_183537
1788885283.4486332,1825603,467354368,467.354368,12,1,147,133,9,20260908_183537
1788885283.4586172,1825642,467364352,467.364352,15,1,146,133,9,20260908_183537
1788885283.4686012,1825681,467374336,467.374336,19,1,147,133,9,20260908_183537
1788885283.4785852,1825720,467384320,467.38432,22,1,146,132,9,20260908_183537
1788885283.4885693,1825759,467394304,467.394304,25,0,146,132,9,20260908_183537
1788885283.498809,1825799,467404544,467.404544,28,11,147,132,9,20260908_183537
1788885283.508793,1825838,467414528,467.414528,31,0,147,132,9,20260908_183537
1788885283.5187771,1825877,467424512,467.424512,35,20,146,131,9,20260908_183537
1788885283.5287611,1825916,467434496,467.434496,38,39,146,131,9,20260908_183537
1788885283.5387452,1825955,467444480,467.44448,41,5,146,131,9,20260908_183537
1788885283.5487292,1825994,467454464,467.454464,44,63,146,129,9,20260908_183537
1788885283.5587132,1826033,467464448,467.464448,47,0,146,128,9,20260908_183537
1788885283.5686972,1826072,467474432,467.474432,51,112,147,126,9,20260908_183537
1788885283.5786812,1826111,467484416,467.484416,54,0,147,124,9,20260908_183537
1788885283.5886652,1826150,467494400,467.4944,57,105,147,122,9,20260908_183537
1788885283.5986493,1826189,467504384,467.504384,60,40,146,120,9,20260908_183537
1788885283.6086333,1826228,467514368,467.514368,63,29,146,118,9,20260908_183537
1788885283.6188731,1826268,467524608,467.524608,66,71,146,117,9,20260908_183537
1788885283.6288571,1826307,467534592,467.534592,70,59,146,115,9,20260908_183537
1788885283.6388412,1826346,467544576,467.544576,73,51,146,113,9,20260908_183537
1788885283.6488252,1826385,467554560,467.55456,76,44,147,111,9,20260908_183537
1788885283.6588092,1826424,467564544,467.564544,79,1,146,109,9,20260908_183537
1788885283.6687932,1826463,467574528,467.574528,82,64,146,106,9,20260908_183537
1788885283.6787772,1826502,467584512,467.584512,86,0,146,103,9,20260908_183537
1788885283.6887612,1826541,467594496,467.594496,89,77,146,102,9,20260908_183537
1788885283.6987453,1826580,467604480,467.60448,92,12,146,101,9,20260908_183537
1788885283.7087293,1826619,467614464,467.614464,95,60,146,99,9,20260908_183537
1788885283.7187133,1826658,467624448,467.624448,98,43,146,97,9,20260908_183537
