Rank,DirectionIndex,PairName,SourceID,TargetID,DirectionLabel,Weight
8,5,7-9,9,7,9 -> 7,0.0466994318684964
8,6,7-9,7,9,7 -> 9,0.0561614139291483
8,7,8-10,10,8,10 -> 8,0.0132369073094896
8,8,8-10,8,10,8 -> 10,0.0131831145648013
8,9,8-9,9,8,9 -> 8,0.0251529142231658
8,10,8-9,8,9,8 -> 9,0.0275246182129788
8,11,9-10,10,9,10 -> 9,-0.0397587405841865
8,12,9-10,9,10,9 -> 10,-0.035316988102572
9,1,7-10,10,7,10 -> 7,0.0245190149221215
9,2,7-10,7,10,7 -> 10,0.0269393588073051
9,3,7-8,8,7,8 -> 7,-0.026150187739531
9,4,7-8,7,8,7 -> 8,-0.0388761938411808
9,5,7-9,9,7,9 -> 7,0.0467088257744694
9,6,7-9,7,9,7 -> 9,0.0561674511348871
9,7,8-10,10,8,10 -> 8,0.0132368964011006
9,8,8-10,8,10,8 -> 10,0.0132043763953676
9,9,8-9,9,8,9 -> 8,0.0251419140240033
9,10,8-9,8,9,8 -> 9,0.027534483111487
9,11,9-10,10,9,10 -> 9,-0.0397835612894552
9,12,9-10,9,10,9 -> 10,-0.0353242316665183
10,1,7-10,10,7,10 -> 7,0.0245145296085092
10,2,7-10,7,10,7 -> 10,0.0269459621619358
10,3,7-8,8,7,8 -> 7,-0.0261578802617297
10,4,7-8,7,8,7 -> 8,-0.038890163738571
10,5,7-9,9,7,9 -> 7,0.0467192616958663
10,6,7-9,7,9,7 -> 9,0.0561779192898889
10,7,8-10,10,8,10 -> 8,0.0132478367202653
10,8,8-10,8,10,8 -> 10,0.0132162206730428
10,9,8-9,9,8,9 -> 8,0.0251390186686864
10,10,8-9,8,9,8 -> 9,0.0275219420479479
10,11,9-10,10,9,10 -> 9,-0.0397882346567333
10,12,9-10,9,10,9 -> 10,-0.0353313027738078
