Rank,DirectionIndex,PairName,SourceID,TargetID,DirectionLabel,RelativeResidual,ExplainedFraction,ExplainedPercent
5,3,7-8,8,7,8 -> 7,0.72774452858879,0.47038790110908,47.038790110908
5,4,7-8,7,8,7 -> 8,0.423495761604432,0.820651339903082,82.0651339903082
5,5,7-9,9,7,9 -> 7,0.367229544398478,0.865142461720886,86.5142461720886
5,6,7-9,7,9,7 -> 9,0.342670430864924,0.882576975810847,88.2576975810847
5,7,8-10,10,8,10 -> 8,0.654507702186476,0.571619667778579,57.1619667778579
5,8,8-10,8,10,8 -> 10,0.590651467426385,0.651130844027058,65.1130844027058
5,9,8-9,9,8,9 -> 8,0.534921402983732,0.713859092629916,71.3859092629916
5,10,8-9,8,9,8 -> 9,0.503810457447171,0.746175022966873,74.6175022966873
5,11,9-10,10,9,10 -> 9,0.498584995441485,0.751413002320614,75.1413002320614
5,12,9-10,9,10,9 -> 10,0.491892565811691,0.758041703699192,75.8041703699192
6,1,7-10,10,7,10 -> 7,0.469837813956213,0.779252428576847,77.9252428576847
6,2,7-10,7,10,7 -> 10,0.547618879176219,0.700113563169781,70.0113563169781
6,3,7-8,8,7,8 -> 7,0.724844102929624,0.474601026448149,47.4601026448149
6,4,7-8,7,8,7 -> 8,0.418675513775132,0.824710814165129,82.4710814165129
6,5,7-9,9,7,9 -> 7,0.367903460127323,0.864647044026343,86.4647044026343
6,6,7-9,7,9,7 -> 9,0.340720267867412,0.883909699064359,88.3909699064359
6,7,8-10,10,8,10 -> 8,0.65710223871982,0.568216647869401,56.8216647869401
6,8,8-10,8,10,8 -> 10,0.591872760047111,0.649686635914215,64.9686635914215
6,9,8-9,9,8,9 -> 8,0.537051245473186,0.7115759597357,71.15759597357
6,10,8-9,8,9,8 -> 9,0.506461029106868,0.743497225996012,74.3497225996012
6,11,9-10,10,9,10 -> 9,0.494075685180424,0.755889217313494,75.5889217313494
6,12,9-10,9,10,9 -> 10,0.490466501610715,0.759442610797747,75.9442610797747
7,1,7-10,10,7,10 -> 7,0.469916755120592,0.779178243256933,77.9178243256933
7,2,7-10,7,10,7 -> 10,0.547688110930002,0.700037733145926,70.0037733145926
7,3,7-8,8,7,8 -> 7,0.724313169106172,0.475370433059374,47.5370433059374
7,4,7-8,7,8,7 -> 8,0.416281201698465,0.826709961112482,82.6709961112482
7,5,7-9,9,7,9 -> 7,0.368794738414703,0.86399044091763,86.399044091763
7,6,7-9,7,9,7 -> 9,0.339623247791018,0.884656049559881,88.4656049559881
7,7,8-10,10,8,10 -> 8,0.656945450272859,0.56842267536579,56.842267536579
7,8,8-10,8,10,8 -> 10,0.591312326976412,0.650349731965741,65.0349731965741
7,9,8-9,9,8,9 -> 8,0.536803476614957,0.711842027494096,71.1842027494096
7,10,8-9,8,9,8 -> 9,0.506630800819075,0.743325231661423,74.3325231661423
7,11,9-10,10,9,10 -> 9,0.491901958346823,0.75803246337456,75.803246337456
7,12,9-10,9,10,9 -> 10,0.488744493250314,0.761128820317494,76.1128820317494
8,1,7-10,10,7,10 -> 7,0.470628250707447,0.778509049636048,77.8509049636048
8,2,7-10,7,10,7 -> 10,0.547689687967675,0.70003600569387,70.003600569387
8,3,7-8,8,7,8 -> 7,0.724060181129731,0.475736854102381,47.5736854102381
8,4,7-8,7,8,7 -> 8,0.414284798767338,0.828368105510306,82.8368105510307
8,5,7-9,9,7,9 -> 7,0.369301595995393,0.863616331195255,86.3616331195255
