agent_id,energy_ratio,first_arg_agent_id,nrmse,other_agent_id,other_idx_in_pair,other_phase,pair_name,rank,reconstruction_mismatch_rmse,remaining_energy_ratio,removed_constant_energy_ratio,removed_other_energy_ratio,removed_self_energy_ratio,removed_total_energy_ratio,residual_energy_ratio,residual_nrmse,second_arg_agent_id,self_agent_id,self_idx_in_pair,self_phase,signal_index,source_agent_id,target_agent_id,total_energy_ratio,total_nrmse
8,0.833931347362502,8,0.610780669870729,11,2,phi_{11},8-11,1,0.0131188346216925,0.00301085217906912,0.00297457095963707,0,0.994014576861294,0.996989147820931,0.833931347362502,0.610780669870729,11,8,1,phi_{8},1,11,8,0.999499991835332,0.0386110869938926
8,0.936044302664916,8,0.542812251243083,11,2,phi_{11},8-11,2,0.0131188346216925,0.00301085217906912,0.00297457095963707,0,0.994014576861294,0.996989147820931,0.936044302664916,0.542812251243083,11,8,1,phi_{8},1,11,8,0.999807438849315,0.0343143980940543
8,0.955706552112292,8,0.528990172311105,11,2,phi_{11},8-11,3,0.0131188346216925,0.00301085217906912,0.00297457095963707,0,0.994014576861294,0.996989147820931,0.955706552112292,0.528990172311105,11,8,1,phi_{8},1,11,8,0.999866638975909,0.0334406220916277
8,0.973194205938933,8,0.51631535933095,11,2,phi_{11},8-11,4,0.0131188346216925,0.00301085217906912,0.00297457095963707,0,0.994014576861294,0.996989147820931,0.973194205938933,0.51631535933095,11,8,1,phi_{8},1,11,8,0.99991929171654,0.0326393716088454
8,0.982396373765901,8,0.509521399221663,11,2,phi_{11},8-11,5,0.0131188346216925,0.00301085217906912,0.00297457095963707,0,0.994014576861294,0.996989147820931,0.982396373765901,0.509521399221663,11,8,1,phi_{8},1,11,8,0.999946998083594,0.0322098848916769
11,0.777259932499269,11,0.86892172605861,8,1,phi_{8},8-11,1,0.0421504306970683,0.00451533815659631,0.0095589634775759,0,0.985925698365828,0.995484661843404,0.777259932499269,0.86892172605861,8,11,2,phi_{11},2,8,11,0.998994253274211,0.104212875650553
11,0.84009674514536,11,0.857295459520454,8,1,phi_{8},8-11,2,0.0421504306970683,0.00451533815659631,0.0095589634775759,0,0.985925698365828,0.995484661843404,0.84009674514536,0.857295459520454,8,11,2,phi_{11},2,8,11,0.999277982731991,0.102818496119365
11,0.886754672546511,11,0.848756734088396,8,1,phi_{8},8-11,3,0.0421504306970683,0.00451533815659631,0.0095589634775759,0,0.985925698365828,0.995484661843404,0.886754672546511,0.848756734088396,8,11,2,phi_{11},2,8,11,0.999488659051893,0.10179441638355
11,0.921426514105773,11,0.842318890403664,8,1,phi_{8},8-11,4,0.0421504306970683,0.00451533815659631,0.0095589634775759,0,0.985925698365828,0.995484661843404,0.921426514105773,0.842318890403664,8,11,2,phi_{11},2,8,11,0.999645214141045,0.101022302874066
11,0.951385742844082,11,0.836889512179139,8,1,phi_{8},8-11,5,0.0421504306970683,0.00451533815659631,0.0095589634775759,0,0.985925698365828,0.995484661843404,0.951385742844082,0.836889512179139,8,11,2,phi_{11},2,8,11,0.999780490189709,0.100371138216993
8,0.86267488545854,8,0.56726170948318,12,2,phi_{12},8-12,1,0.0185120063704207,0.00744215345230607,0.00368007630094772,0,0.988877770246746,0.992557846547694,0.86267488545854,0.56726170948318,12,8,1,phi_{8},1,12,8,0.998978005424727,0.0556284588288149
8,0.936860943334345,8,0.513881013046145,12,2,phi_{12},8-12,2,0.0185120063704207,0.00744215345230607,0.00368007630094772,0,0.988877770246746,0.992557846547694,0.936860943334345,0.513881013046145,12,8,1,phi_{8},1,12,8,0.999530109451461,0.0503936865458302
8,0.951357198715788,8,0.502890502988412,12,2,phi_{12},8-12,3,0.0185120063704207,0.00744215345230607,0.00368007630094772,0,0.988877770246746,0.992557846547694,0.951357198715788,0.502890502988412,12,8,1,phi_{8},1,12,8,0.999637992808493,0.0493159033532871
8,0.963802750234809,8,0.493245316404152,12,2,phi_{12},8-12,4,0.0185120063704207,0.00744215345230607,0.00368007630094772,0,0.988877770246746,0.992557846547694,0.963802750234809,0.493245316404152,12,8,1,phi_{8},1,12,8,0.999730614512696,0.0483700491631857
8,0.974279749187819,8,0.484872899405881,12,2,phi_{12},8-12,5,0.0185120063704207,0.00744215345230607,0.00368007630094772,0,0.988877770246746,0.992557846547694,0.974279749187819,0.484872899405881,12,8,1,phi_{8},1,12,8,0.999808585946624,0.0475490089863151
12,0.939816645053357,12,0.450100892695703,8,1,phi_{8},8-12,1,0.0202701086495467,0.0133272962886969,0.00242542982293135,0,0.984247273888372,0.986672703711303,0.939816645053357,0.450100892695703,8,12,2,phi_{12},2,8,12,0.999197918596978,0.0561944303802913
12,0.967180283020859,12,0.423367674087275,8,1,phi_{8},8-12,2,0.0202701086495467,0.0133272962886969,0.00242542982293135,0,0.984247273888372,0.986672703711303,0.967180283020859,0.423367674087275,8,12,2,phi_{12},2,8,12,0.999562601907708,0.0528568275976457
12,0.984451663058873,12,0.405107964471455,8,1,phi_{8},8-12,3,0.0202701086495467,0.0133272962886969,0.00242542982293135,0,0.984247273888372,0.986672703711303,0.984451663058873,0.405107964471455,8,12,2,phi_{12},2,8,12,0.999792782706789,0.0505771298733752
