CompRank,CompIndex,LambdaVal,DeltaRad,DeltaDeg,ComponentEnergyFraction,DropOneMetric,RecvLocalization,RecvEffectiveAgents,SendLocalization,SendEffectiveAgents,MaxDirectionShare,EffectiveDirections,DominantInteractionIndex,DominantPairName,DominantSourceID,DominantTargetID
9,6,0.917440869744088,0.630097626826525,36.101934698369,0.139865228360493,0.139865228360493,0.998672917231644,1.00265846269739,0.994977826498706,1.01010877011026,0.510363523123717,3.22275877954699,2,10-11,10,11
9,7,0.158851773557075,0.629349263740694,36.0590566520075,0.538982970645843,0.53898297064584,0.886404466175173,1.26162587192616,0.31506422108845,4.06229793897224,0.342737305582223,4.00111880394794,7,7-10,10,7
9,8,0.954606767138983,0.902123788870513,51.6878857006314,0.0503357707860779,0.0503357707860775,0.921494937319613,1.16922272673399,0.562751097725054,1.97511957771025,0.330740926679228,5.22113637355922,21,8-9,9,8
9,9,0.0973907875878916,0.455058824578745,26.0729500785462,0.230824474583212,0.230824474583211,0.924473148971258,1.16797834780044,0.66427884714099,2.03558621297805,0.661484829176803,2.06892333043447,9,7-11,11,7
10,1,0.111622633500035,0.830919088515173,47.6081568887767,0.232681548886023,0.232681548886022,0.573443652777993,2.54354506645401,0.340727571828391,3.87497877667495,0.274259622873752,8.1694330888321,2,10-11,10,11
10,2,0.0694193231110835,0.877246261667446,50.2625083871737,0.0825335699744148,0.0825335699744142,0.872465788364145,1.30400298082777,0.424625667780689,2.992381843913,0.567029991884993,2.77203632939916,21,8-9,9,8
10,3,0.0385021263798418,1.99735151273549,114.439811883814,0.0281038538595957,0.0281038538595957,0.340292935371715,4.25372998269791,0.347011669435064,4.38668062949942,0.0925555447794412,17.8096340002953,4,10-12,10,12
10,4,0.355305460794215,0.000206856067409095,0.0118519796292148,0.885884040130557,0.885884040130553,0.913849226341945,1.18737929417601,0.782306965497137,1.52719761312292,0.705672811468531,1.7888215259256,9,7-11,11,7
10,5,0.112444246100674,0.248158747392323,14.2184488748333,0.243491090415342,0.243491090415341,0.841361613565536,1.38582753073391,0.310949344330904,4.50035970452001,0.356110682520084,5.27047876117693,8,7-10,7,10
10,6,0.12462731996794,2.33585762183652,133.834783274698,0.180368336801178,0.180368336801178,0.570040693062423,2.01121462453682,0.955662527169303,1.09375910283205,0.895125029519861,1.24472454046957,10,7-11,7,11
10,7,0.13267151601695,0.660942139039196,37.8691950692948,0.38947641884023,0.389476418840229,0.723788801553449,1.80071824384746,0.327086655146384,4.17650204091507,0.280459505291381,5.79432053647017,7,7-10,10,7
10,8,0.394476129729864,0.512828955694574,29.3829347734006,3.03624391447549,3.03624391447549,0.717997486036553,1.6826811436331,0.88715792774602,1.26268438549401,0.855755943999693,1.3559111868628,9,7-11,11,7
10,9,0.223110663106158,0.831274462396819,47.6285183123442,0.855041997965863,0.855041997965862,0.834097249105124,1.38721488277145,0.671211773994943,1.87647826102379,0.854379314416189,1.35830709284173,9,7-11,11,7
10,10,0.072566873735996,0.644058181957768,36.9018155870489,0.111978395381579,0.111978395381579,0.746429588041148,1.66464912339883,0.35400182106212,4.125304649407,0.325730325125188,4.8941476247314,22,8-9,8,9
