Rank,DirectionIndex,PairName,SourceID,TargetID,DirectionLabel,RelativeResidual,ExplainedFraction,ExplainedPercent
3,2,7-10,7,10,7 -> 10,0.372175720799667,0.861485232847248,86.1485232847248
3,3,7-8,8,7,8 -> 7,0.352882300701748,0.875474081851441,87.5474081851441
3,4,7-8,7,8,7 -> 8,0.334773014830555,0.887927028541261,88.7927028541261
3,5,7-9,9,7,9 -> 7,0.259469322434846,0.932675670715202,93.2675670715202
3,6,7-9,7,9,7 -> 9,0.29470584155528,0.913148466953194,91.3148466953194
3,7,8-10,10,8,10 -> 8,0.532935218933422,0.715980052420385,71.5980052420385
3,8,8-10,8,10,8 -> 10,0.599080681549042,0.641102336994735,64.1102336994735
3,9,8-9,9,8,9 -> 8,0.298512702831963,0.910890166247956,91.0890166247956
3,10,8-9,8,9,8 -> 9,0.251564273246116,0.936715416426154,93.6715416426154
3,11,9-10,10,9,10 -> 9,0.346638593866849,0.879841685242014,87.9841685242014
3,12,9-10,9,10,9 -> 10,0.456463108902715,0.791641430210868,79.1641430210868
4,1,7-10,10,7,10 -> 7,0.345491056524579,0.88063592986153,88.063592986153
4,2,7-10,7,10,7 -> 10,0.368288460302483,0.864363610008027,86.4363610008027
4,3,7-8,8,7,8 -> 7,0.30707433371324,0.90570535357457,90.570535357457
4,4,7-8,7,8,7 -> 8,0.306911187355853,0.90580552307582,90.580552307582
4,5,7-9,9,7,9 -> 7,0.238205805385084,0.943257994280844,94.3257994280844
4,6,7-9,7,9,7 -> 9,0.254171872653601,0.935396659151762,93.5396659151762
4,7,8-10,10,8,10 -> 8,0.504396192895231,0.745584480592797,74.5584480592797
4,8,8-10,8,10,8 -> 10,0.59699793189208,0.643593469316579,64.3593469316579
4,9,8-9,9,8,9 -> 8,0.289584719929132,0.916140689983566,91.6140689983566
4,10,8-9,8,9,8 -> 9,0.24005247257849,0.942374810408953,94.2374810408953
4,11,9-10,10,9,10 -> 9,0.338145690613399,0.885657491919587,88.5657491919587
