trial,condition,mean_speed_cm_s,mean_speed_px_s,mean_power_W,cot_J_m,cot_mJ_px,cot_J_px,total_distance_m,total_distance_px,mode1_converged_mean,mode1_steady_std,mode2_converged_mean,mode2_steady_std,mode3_converged_mean,mode3_steady_std,mode4_converged_mean,mode4_steady_std,G_sum_all,G_mean_all,G_ag8,G_ag9,G_ag11,G_ag12,stroke_peak_freq_hz,total_energy_J,swimming_duration_sec,eval_window_start_sec,eval_window_end_sec
GX011404,m10sinz,4.909914356173229,38.911071272672835,2.1680270136706503,44.15610653055064,55.71748458113645,0.055717484581136456,0.5447057117776023,431.6792765837498,0.4546117235198361,0.07117984674035255,1.3992426308838362,0.06519778982320251,0.2631900878647281,0.05414580632300276,1.3235911754751668,0.045916390490065614,0.1584404164334336,0.0396101041083584,0.01549794348105283,0.03309730394185335,0.048327794745382506,0.061517374265144927,2.617864063647258,19.57169272023816,11.044366666666667,18.009999999999998,20.009999999999998
GX011405,m10sinz,5.116514029350035,40.54837368259902,2.169734134085779,42.40649242119652,53.50976961665177,0.05350976961665176,1.8039655385120614,1429.6426892708087,0.38106468327005655,0.1426707203480486,1.4260461372576023,0.14899934138197451,0.754393499151993,0.42298474937649155,0.9794662220453436,0.2672862311235467,0.1588871171891918,0.03972177929729795,0.02161121175819688,0.027533792637881794,0.04496076467058388,0.06478134812252925,1.2844298558584577,71.58093936748827,35.00163333333334,27.011633333333336,42.011633333333336
GX011406,m10sinz,5.264726085070566,41.72295422418423,2.179339640287795,41.395119234557185,52.23358893950433,0.05223358893950433,1.2163956206323305,963.9935293511219,0.25846701563820756,0.15042095671027145,1.3715989896736973,0.05850651102163809,0.5692599393629348,0.2071511639474835,1.2857935129221554,0.07543933826768255,0.14036025236016492,0.03509006309004123,0.018306195083307945,0.019915662204229446,0.05911975294366156,0.04301864212896596,1.2669546197243289,45.42096113882916,22.856166666666667,18.009999999999998,29.866166666666665
GX011407,m10sinz,4.944679674766507,39.18658642252456,2.179085327170385,44.069292057291534,55.607939504468824,0.05560793950446882,1.742305735437034,1380.7772953338492,0.3810007800494097,0.19940892908161445,1.0313154448704882,0.23037090772445004,1.472771047005834,0.34034481730684635,0.5577030036055218,0.32043401141388633,0.1516996437898615,0.037924910947465376,0.03459794131957688,0.038508852282216295,0.03292611469371985,0.045666735494348465,1.288110170631691,71.65807566175307,34.90153333333333,26.91153333333333,41.91153333333333
GX011408,m10sinz,4.941970069376981,39.16511279981257,2.1592591788369373,43.6922755201783,55.13220885826916,0.05513220885826916,1.3715264352356902,1086.9346999242844,0.31629143128169346,0.15633662738555199,0.9552519112612108,0.2543918481453358,1.6198079246510904,0.21331501365942462,0.4206561867406949,0.2284599041185774,0.14806408920929623,0.03701602230232406,0.03801246337666557,0.03663861020568674,0.0397880613755735,0.033624954251370416,2.588652223688781,51.42846864584503,27.394033333333333,19.40403333333333,34.40403333333333
GX011409,m10sinz,4.880422094550646,38.67734509931386,2.182234092966776,44.7140442094835,56.42150688893817,0.05642150688893817,0.7848857932395505,622.0219911423437,0.2897990539629019,0.11553405137075073,1.2232963472719414,0.12515900728517554,1.3490744896130062,0.2164983837969112,0.69504404245533,0.20205015743349922,0.1548600946177391,0.03871502365443478,0.029758620719758606,0.033176985841110306,0.035308882951943656,0.05661560510492655,1.2487512487512782,30.48094509441936,15.98263333333333,18.009999999999998,22.99263333333333
GX011410,m10sinz,5.011280344602059,39.71439673097131,2.180356648706074,43.50897373072857,54.900913224894104,0.054900913224894106,1.3517445809526927,1071.2575804050089,0.4513790794748748,0.21799153684896505,0.9231921475254308,0.44880408304438724,1.5088748647943002,0.3610869175715093,0.4506067748629189,0.2918970259588771,0.15695768618997877,0.03923942154749469,0.0367745441050615,0.03582158011992729,0.038348886424028755,0.046012675540961216,1.2705498989788566,53.863998433340385,26.7267,18.7367,33.7367
GX011411,m10sinz,5.774844317965283,45.765641219874865,2.1644836723082475,37.481247166692185,47.2949491062362,0.0472949491062362,0.6583182683251333,521.7172276476681,0.2324295533566713,0.08790793395761153,1.2198912318631612,0.1163092978771253,1.4705182365962244,0.13911741763666208,0.4867065980365461,0.13497969870707144,0.15232247119343711,0.03808061779835928,0.027208434271851923,0.028363148001667785,0.04106534952949253,0.05568553939042488,1.322207204560177,20.12932128884451,11.311300000000001,18.009999999999998,20.009999999999998
GX011412,m10sinz,5.1852773805652,41.0933232409792,2.1498527690837435,41.46070906720534,52.31635213527488,0.052316352135274885,1.1210617561479816,888.4414417472753,0.3995713053200531,0.22705907441670986,1.1915490373236681,0.14707077425926954,1.230554608999971,0.36587702467429645,0.7756955397399274,0.3127694469908933,0.1579733829214848,0.0394933457303712,0.02950153255599698,0.03712319204676072,0.032199041549994215,0.05914961676873288,2.5555839509328484,41.85796423860096,21.48813333333333,18.009999999999998,28.49813333333333
GX011413,m10sinz,5.342268601101868,42.33747866373229,2.1791233862837203,40.79022507094208,51.47031554693007,0.051470315546930066,1.6580581780562331,1314.0111061095647,0.4830424370512474,0.13500257704630186,1.0415225967477804,0.5000466109946222,1.248469592756887,0.5190324276132715,0.7132813929904226,0.27784339876758724,0.15677848128364114,0.039194620320910284,0.03167242842245696,0.036307769729930515,0.03577162722081634,0.05302665591043733,1.2960012960013267,62.8035415425763,30.830800000000004,22.8408,37.8408
